file,full_path,language,num_functions,functions_defined,dependencies,dependency_files,dependency_with_functions,dependency_full_paths,dependents,dependent_files,dependent_with_functions,dependent_full_paths,total_connections,num_classes,classes_defined,global_variables,exports
DeleteCategoryCommand.cs,Src\Application\Categories\Commands\DeleteCategory\DeleteCategoryCommand.cs,C#,1,Handle,using MediatR;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,Src/Application/Common/Exceptions; Src/Application/Common/Interfaces; Src/Domain/Entities,Src/Application/Common/Exceptions::[no functions]; Src/Application/Common/Interfaces::[no functions]; Src/Domain/Entities::[no functions],Src/Application/Common/Exceptions; Src/Application/Common/Interfaces; Src/Domain/Entities,,,,,3,2,DeleteCategoryCommand; DeleteCategoryCommandHandler,,DeleteCategoryCommand; DeleteCategoryCommandHandler
UpsertCategoryCommand.cs,Src\Application\Categories\Commands\UpsertCategory\UpsertCategoryCommand.cs,C#,1,Handle,using System.Threading;; using System.Threading.Tasks;; using MediatR;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;,MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities,MediatR::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions],MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities,,,,,3,2,UpsertCategoryCommand; UpsertCategoryCommandHandler,,UpsertCategoryCommand; UpsertCategoryCommandHandler
CategoriesListVm.cs,Src\Application\Categories\Queries\GetCategoriesList\CategoriesListVm.cs,C#,0,,using System.Collections.Generic;,,,,,,,,0,1,CategoriesListVm,,CategoriesListVm
CategoryDto.cs,Src\Application\Categories\Queries\GetCategoriesList\CategoryDto.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;,AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,AutoMapper::[no functions]; Northwind/Application/Common/Mappings::[no functions]; Northwind/Domain/Entities::[no functions],AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,,,,,3,1,CategoryDto,,CategoryDto
GetCategoriesListQuery.cs,Src\Application\Categories\Queries\GetCategoriesList\GetCategoriesListQuery.cs,C#,0,,using MediatR;,,,,,,,,0,1,GetCategoriesListQuery,,GetCategoriesListQuery
GetCategoriesListQueryHandler.cs,Src\Application\Categories\Queries\GetCategoriesList\GetCategoriesListQueryHandler.cs,C#,1,Handle,using AutoMapper;; using AutoMapper.QueryableExtensions;; using MediatR;; using Microsoft.EntityFrameworkCore;; using Northwind.Application.Common.Interfaces;; using System.Threading;; using System.Threading.Tasks;,AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Threading; System.Threading.Tasks,AutoMapper::[no functions]; AutoMapper.QueryableExtensions::[no functions]; MediatR::[no functions]; Microsoft.EntityFrameworkCore::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Threading; System.Threading.Tasks,,,,,7,1,GetCategoriesListQueryHandler,,GetCategoriesListQueryHandler
RequestLogger.cs,Src\Application\Common\Behaviours\RequestLogger.cs,C#,1,Process,using MediatR.Pipeline;; using Microsoft.Extensions.Logging;; using Northwind.Application.Common.Interfaces;; using System.Threading;; using System.Threading.Tasks;,MediatR/Pipeline; Microsoft/Extensions/Logging; Northwind/Application/Common/Interfaces; System/Threading; System/Threading/Tasks,MediatR/Pipeline::[no functions]; Microsoft/Extensions/Logging::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],MediatR/Pipeline; Microsoft/Extensions/Logging; Northwind/Application/Common/Interfaces; System/Threading; System/Threading/Tasks,,,,,5,1,RequestLogger,,RequestLogger
RequestPerformanceBehaviour.cs,Src\Application\Common\Behaviours\RequestPerformanceBehaviour.cs,C#,1,Handle,using MediatR;; using Microsoft.Extensions.Logging;; using Northwind.Application.Common.Interfaces;; using System.Diagnostics;; using System.Threading;; using System.Threading.Tasks;,MediatR; Microsoft.Extensions.Logging; Northwind.Application.Common.Interfaces; System.Diagnostics; System.Threading; System.Threading.Tasks,MediatR::[no functions]; Microsoft.Extensions.Logging::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; System.Diagnostics::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],MediatR; Microsoft.Extensions.Logging; Northwind.Application.Common.Interfaces; System.Diagnostics; System.Threading; System.Threading.Tasks,,,,,6,1,RequestPerformanceBehaviour,,RequestPerformanceBehaviour
RequestValidationBehavior.cs,Src\Application\Common\Behaviours\RequestValidationBehavior.cs,C#,1,Handle,using System.Collections.Generic;; using System.Linq;; using System.Threading;; using System.Threading.Tasks;; using FluentValidation;; using MediatR;; using ValidationException = Northwind.Application.Common.Exceptions.ValidationException;,Northwind/Application/Common/Exceptions/ValidationException.cs,Northwind/Application/Common/Exceptions/ValidationException.cs::[no functions],Northwind/Application/Common/Exceptions/ValidationException.cs,,,,,1,1,RequestValidationBehavior,,RequestValidationBehavior
BadRequestException.cs,Src\Application\Common\Exceptions\BadRequestException.cs,C#,0,,using System;,,,,,,,,0,1,BadRequestException,,BadRequestException
DeleteFailureException.cs,Src\Application\Common\Exceptions\DeleteFailureException.cs,C#,0,,using System;,,,,,,,,0,1,DeleteFailureException,,DeleteFailureException
NotFoundException.cs,Src\Application\Common\Exceptions\NotFoundException.cs,C#,0,,using System;,,,,,,,,0,1,NotFoundException,,NotFoundException
ValidationException.cs,Src\Application\Common\Exceptions\ValidationException.cs,C#,0,,using System;; using System.Collections.Generic;; using System.Linq;; using FluentValidation.Results;,,,,,,,,0,1,ValidationException,,ValidationException
ICsvFileBuilder.cs,Src\Application\Common\Interfaces\ICsvFileBuilder.cs,C#,1,BuildProductsFile,using System.Collections.Generic;; using Northwind.Application.Products.Queries.GetProductsFile;,Northwind/Application/Products/Queries/GetProductsFile,Northwind/Application/Products/Queries/GetProductsFile::[no functions],Northwind/Application/Products/Queries/GetProductsFile,,,,,1,1,ICsvFileBuilder,,ICsvFileBuilder
ICurrentUserService.cs,Src\Application\Common\Interfaces\ICurrentUserService.cs,C#,0,,,,,,,,,,0,1,ICurrentUserService,,ICurrentUserService
INorthwindDbContext.cs,Src\Application\Common\Interfaces\INorthwindDbContext.cs,C#,1,SaveChangesAsync,using Microsoft.EntityFrameworkCore;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,Microsoft.EntityFrameworkCore; Northwind.Domain.Entities; System.Threading; System.Threading.Tasks,Microsoft.EntityFrameworkCore::[no functions]; Northwind.Domain.Entities::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],Microsoft.EntityFrameworkCore; Northwind.Domain.Entities; System.Threading; System.Threading.Tasks,,,,,4,0,,,INorthwindDbContext
INotificationService.cs,Src\Application\Common\Interfaces\INotificationService.cs,C#,0,,using Northwind.Application.Notifications.Models;; using System.Threading.Tasks;,Src/Application/Notifications/Models/MessageDto.cs; System/Threading/Tasks,Src/Application/Notifications/Models/MessageDto.cs::[no functions]; System/Threading/Tasks::[no functions],Src/Application/Notifications/Models/MessageDto.cs; System/Threading/Tasks,,,,,2,1,INotificationService,,INotificationService
IUserManager.cs,Src\Application\Common\Interfaces\IUserManager.cs,C#,2,CreateUserAsync; DeleteUserAsync,using Northwind.Application.Common.Models;; using System.Threading.Tasks;,Src/Application/Common/Models,Src/Application/Common/Models::[no functions],Src/Application/Common/Models,,,,,1,0,,,IUserManager
IMapFrom.cs,Src\Application\Common\Mappings\IMapFrom.cs,C#,1,Mapping,using AutoMapper;,,,,,,,,0,1,IMapFrom<T>,,IMapFrom<T>
MappingProfile.cs,Src\Application\Common\Mappings\MappingProfile.cs,C#,2,MappingProfile; ApplyMappingsFromAssembly,using System;; using System.Linq;; using System.Reflection;; using AutoMapper;,,,,,,,,0,1,MappingProfile,,MappingProfile
Result.cs,Src\Application\Common\Models\Result.cs,C#,3,Result; Success; Failure,using System.Collections.Generic;; using System.Linq;,,,,,,,,0,1,Result,,Result
CreateCustomerCommand.cs,Src\Application\Customers\Commands\CreateCustomer\CreateCustomerCommand.cs,C#,1,Handle,using MediatR;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,MediatR::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,,,,,5,2,CreateCustomerCommand; Handler,,CreateCustomerCommand
CreateCustomerCommandValidator.cs,Src\Application\Customers\Commands\CreateCustomer\CreateCustomerCommandValidator.cs,C#,0,,using FluentValidation;,,,,,,,,0,1,CreateCustomerCommandValidator,,CreateCustomerCommandValidator
CustomerCreated.cs,Src\Application\Customers\Commands\CreateCustomer\CustomerCreated.cs,C#,1,Handle,using MediatR;; using Northwind.Application.Common.Interfaces;; using Northwind.Application.Notifications.Models;; using System.Threading;; using System.Threading.Tasks;,MediatR; Northwind/Application/Common/Interfaces; Northwind/Application/Notifications/Models; System/Threading; System/Threading/Tasks,MediatR::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Application/Notifications/Models::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],MediatR; Northwind/Application/Common/Interfaces; Northwind/Application/Notifications/Models; System/Threading; System/Threading/Tasks,,,,,5,2,CustomerCreated; CustomerCreatedHandler,,CustomerCreated; CustomerCreatedHandler
DeleteCustomerCommand.cs,Src\Application\Customers\Commands\DeleteCustomer\DeleteCustomerCommand.cs,C#,0,,using MediatR;,,,,,,,,0,1,DeleteCustomerCommand,,DeleteCustomerCommand
