file,full_path,type,name,start_line,end_line,parameters,calls,details
AdminPanel.Designer.cs,AdminPanel.Designer.cs,function,Dispose,14,22,disposing,"components.Dispose, base.Dispose",Calls 2 functions
AdminPanel.Designer.cs,AdminPanel.Designer.cs,function,InitializeComponent,28,238,,,Calls 0 functions
AdminPanel.Designer.cs,AdminPanel.Designer.cs,class,AdminPanel,3,238,,"Dispose, InitializeComponent","Methods: [Dispose, InitializeComponent]; Inherits: []"
AdminPanel.cs,AdminPanel.cs,function,AdminPanel,11,15,,InitializeComponent,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,AdminPanel_Load,18,22,"sender, e",,Calls 0 functions
AdminPanel.cs,AdminPanel.cs,function,reportToolStripMenuItem_Click,25,30,"sender, e",PayForm.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,addEmployeeToolStripMenuItem1_Click,33,38,"sender, e",Enroll.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,editEmployeeToolStripMenuItem1_Click,41,46,"sender, e",Edit_emp.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,deleteEmployeeToolStripMenuItem1_Click,49,54,"sender, e",Edit_emp.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,checkAttendanceToolStripMenuItem1_Click,57,62,"sender, e",Rep_Attend.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,markAttendanceToolStripMenuItem1_Click,65,70,"sender, e",Attendance.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,reportToolStripMenuItem_Click_1,73,78,"sender, e",PayForm.Show,Calls 1 functions
AdminPanel.cs,AdminPanel.cs,function,logoutToolStripMenuItem_Click,81,87,"sender, e","Close, Login.Show",Calls 2 functions
AdminPanel.cs,AdminPanel.cs,function,leaveRequestToolStripMenuItem_Click,90,95,"sender, e",leave.Show,Calls 1 functions
